Molecule ChEMBL ID,Molecule Name,Standardized_Smiles,pChEMBL Value,Molecular_Weight,AlogP,AlogP,HBD,HBA,RO5_Violations
CHEMBL5417346,,CCN+(CC)(CCCCCn1c(=O)cc(C)n(CCCCCCn2c(C)cc(=O)n(C)c2=O)c1=O)Cc1ccccc1N+(=O)O-,10.0,352.21,3.88,5.9,8.0,8.0,2.0
CHEMBL381499,,O=C(CCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)NCCc1cnHc2ccccc12,10.0,235.6,6.97,6.2,3.0,3.0,1.0
CHEMBL4751100,,COc1cc2c(cc1O)CCC(C)(CCNCCCCCCCCNc1c3c(nc4cc(Cl)ccc14)CCCC3)O2,9.92,339.66,8.0,8.0,5.0,5.0,1.0
CHEMBL223443,,O=C(Cc1cnHc2ccccc12)NCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,9.92,235.6,6.97,6.2,3.0,3.0,1.0
CHEMBL225021,,O=C(CCCc1cnHc2ccccc12)NCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,9.89,235.6,6.97,6.2,3.0,3.0,1.0
CHEMBL3621322,,CCN+(CC)(CCCCCn1c(C)cc(=O)n(CCCCCN+(CC)(CC)Cc2ccccc2N+(=O)O-)c1=O)Cc1ccccc1N+(=O)O-,9.85,404.25,6.59,6.3,10.0,10.0,2.0
CHEMBL5433692,,CCN+(CC)(CCCCCn1c(C)cc(=O)n(CCCCCN+(CC)(CC)Cc2ccccc2)c1=O)Cc1ccccc1,9.85,312.23,6.77,8.0,4.0,4.0,1.0
CHEMBL5187881,,COc1cc2c(cc1OC)C(=O)/C(=C/c1ccn+(Cc3ccc(F)cc3)cc1)OC2,9.82,167.07,3.93,1.5,4.0,4.0,0.0
CHEMBL5286535,,COc1cc(/C=C/c2nnc(-c3ccc(F)cc3F)o2)ccc1O,9.72,106.03,3.9,0.5,1.0,2.0,0.0
CHEMBL32823,,c1ccc2c(NCCCCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3,9.7,208.17000000000002,8.02,6.9,2.0,2.0,1.0
CHEMBL5419243,,CCN+(CC)(CCCCCn1c(=O)cc(C)n(CCCCCCn2c(C)cc(=O)n(C)c2=O)c1=O)Cc1ccccc1C(F)(F)F,9.7,375.21,4.99,7.7,5.0,5.0,1.0
CHEMBL2019041,,COc1cc2oc(C(=O)NCCCCCCCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)cc(=O)c2cc1OC,9.7,331.64,7.85,6.7,6.0,6.0,2.0
CHEMBL5219841,,COc1cccc2c1CCCC2NS(=O)(=O)NC(=O)OCc1ccccc1,9.68,224.15,2.83,0.4,7.0,7.0,1.0
CHEMBL5272625,,COc1cc(/C=C/c2nnc(-c3ccc(Cl)cc3Cl)o2)ccc1O,9.66,138.93,4.93,2.1,1.0,2.0,0.0
CHEMBL1912059,,O=C(CCCCC1CCSS1)NCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,9.64,323.74,6.4,7.2,3.0,3.0,1.0
CHEMBL225326,,O=C(Cc1cnHc2ccc(Br)cc12)NCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,9.64,303.49,7.73,6.7,3.0,3.0,1.0
CHEMBL1940738,,COc1cc2oc(=O)c(OCCCCOc3cc(O)cc(N(C)C)c3)c(C)c2cc1OC,9.63,218.1,4.13,1.2,7.0,7.0,1.0
CHEMBL194823,LIPOCRINE,O=C(CCCCC1CCSS1)NCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,9.6,323.74,6.4,7.2,3.0,3.0,1.0
CHEMBL3216655,,COc1cc2c(cc1OC)C(=O)C(CC1CCN(CCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)CC1)C2,9.57,327.65000000000003,6.74,7.7,5.0,5.0,1.0
CHEMBL1187434,,COc1cc2c(cc1OC)C(=O)C(CC1CCN(CCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)CC1)C2,9.57,327.65000000000003,6.74,7.7,5.0,5.0,1.0
CHEMBL4785201,,COc1cc2c(cc1O)CCC(C)(CCNCCCCCCCCCNc1c3c(nc4cc(Cl)ccc14)CCCC3)O2,9.57,351.67,8.39,8.0,5.0,5.0,1.0
CHEMBL5269238,,COc1cc(/C=C/c2nnc(-c3ccc(F)cc3)o2)ccc1O,9.55,87.03,3.76,0.5,1.0,2.0,0.0
CHEMBL2113367,,CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCN(C)CCCCNc4c5c(nc6cc(Cl)ccc46)CCCC5)c3C(C1)C2,9.54,353.13,9.59,8.0,3.0,3.0,1.0
CHEMBL340427,XANTHOSTIGMINE,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,9.52,176.09,4.57,0.9,6.0,6.0,1.0
CHEMBL338755,,CN(CCCNc1c2c(nc3ccccc13)CCCC2)CCCNc1c2c(nc3ccccc13)CCCC2,9.52,222.18,6.78,6.6,3.0,3.0,1.0
CHEMBL4471659,,NC12CC3CC(F)(CC(C1)c1cc(NC(=O)CCCNc4c5c(nc6cc(Cl)ccc46)CCCC5)ccc13)C2,9.52,316.65,7.16,7.9,4.0,4.0,1.0
CHEMBL2019032,,O=C(NCCCCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)c1cc(=O)c2ccccc2o1,9.52,275.62,7.84,6.7,4.0,4.0,1.0
CHEMBL312310,,Clc1ccc2c(NCCCCCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)c3c(nc2c1)CCCC3,9.52,291.08,9.71,8.0,2.0,2.0,1.0
CHEMBL2011495,,CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCN(C)CCCNc4c5c(nc6cc(Cl)ccc46)CCCC5)c3C(C1)C2,9.51,341.12,9.2,8.0,3.0,3.0,1.0
CHEMBL208599,HUPRINE X,CCC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3C(C1)C2,9.49,157.55,4.86,5.0,1.0,1.0,0.0
CHEMBL140476,HUPRINE Y,CC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3C(C1)C2,9.49,145.54,4.47,4.5,1.0,1.0,0.0
CHEMBL143812,,CCC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3C(C1)C2,9.49,157.55,4.86,5.0,1.0,1.0,0.0
CHEMBL543655,,CNC(=O)Oc1cccc(CN(C)CCCCCCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,9.49,224.13,6.13,2.9,6.0,6.0,1.0
CHEMBL2113368,,CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCN(C)CCCCNc4c5c(nc6ccccc46)CCCC5)c3C(C1)C2,9.49,317.68,8.94,8.0,3.0,3.0,1.0
CHEMBL2236393,,CNCOc1cccc(CN(C)CCCCCCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,9.49,208.13,5.96,3.4,5.0,5.0,0.0
CHEMBL5266033,,COc1cc(/C=C/c2nnc(-c3ccc(Cl)cc3)o2)ccc1O,9.48,103.48,4.27,1.3,1.0,2.0,0.0
CHEMBL359570,ICOPEZIL,O=C1Cc2cc3c(CCC4CCN(Cc5ccccc5)CC4)noc3cc2N1,9.48,164.12,4.17,3.9,3.0,3.0,0.0
CHEMBL538573,,CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCCCCCNc4c5c(nc6cc(Cl)ccc46)CCCC5)c3C(C1)C2,9.48,327.11,10.44,8.0,2.0,2.0,1.0
CHEMBL329012,ICOPEZIL MALEATE,O=C1Cc2cc3c(CCC4CCN(Cc5ccccc5)CC4)noc3cc2N1,9.48,164.12,4.17,3.9,3.0,3.0,0.0
CHEMBL3605361,,Cn+1ccc2c(c1)c1ccccc1n2CCCCCCCCCn1c2ccccc2c2cn+(C)ccc21,9.48,132.10999999999999,6.98,5.5,0.0,0.0,1.0
CHEMBL534932,,CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCCCCCCNc4c5c(nc6ccccc46)CCCC5)c3C(C1)C2,9.48,303.67,10.18,8.0,2.0,2.0,1.0
CHEMBL557155,,CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCCCCCNc4c5c(nc6ccccc46)CCCC5)c3C(C1)C2,9.47,291.66,9.79,8.0,2.0,2.0,1.0
CHEMBL2019038,,COc1cc(OC)c2c(=O)cc(C(=O)NCCCCCCCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)oc2c1,9.46,331.64,7.85,6.7,6.0,6.0,2.0
CHEMBL555300,,CCN(CCCCCCNC1=CC(=O)C(NCCCCCCN(CC)C(C)c2ccccc2OC)=CC1=O)C(C)c1ccccc1OC,9.44,456.32,7.39,8.0,8.0,8.0,2.0
CHEMBL4165327,,COc1cc2c(cc1OC)C(=O)C(Cc1ccn+(Cc3ccccc3)cc1Br)C2,9.44,199.96,4.4,2.5,3.0,3.0,0.0
CHEMBL450553,,CCN(CCCCCCN1C(=O)c2ccc3c4c(ccc(c24)C1=O)C(=O)N(CCCCCCN(CC)Cc1ccccc1OC)C3=O)Cc1ccccc1OC,9.43,440.28000000000003,8.21,7.8,10.0,10.0,2.0
CHEMBL5440753,,CCN+(CC)(CCCCCn1c(=O)cc(C)n(CCCCCn2c(C)cc(=O)n(C)c2=O)c1=O)Cc1ccccc1N+(=O)O-,9.4,340.2,3.49,5.4,8.0,8.0,2.0
CHEMBL539599,,CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCCCCCCNc4c5c(nc6cc(Cl)ccc46)CCCC5)c3C(C1)C2,9.4,339.12,10.83,8.0,2.0,2.0,1.0
CHEMBL4854913,,CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCCCCCCC(=O)N4CCNC(=O)C4)c3C(C1)C2,9.39,361.69,5.99,8.0,5.0,5.0,1.0
CHEMBL2011487,,CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCN(C)CCCNc4c5c(nc6ccccc46)CCCC5)c3C(C1)C2,9.38,305.67,8.55,8.0,3.0,3.0,1.0
CHEMBL94,PHYSOSTIGMINE,CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,9.37,182.12,1.77,2.6,5.0,5.0,0.0
CHEMBL1161905,,CC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3C(C1)C2,9.37,145.54,4.47,4.5,1.0,1.0,0.0
CHEMBL1994202,,CC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3C(C1)C2,9.37,145.54,4.47,4.5,1.0,1.0,0.0
CHEMBL4280612,,Nc1c2c(nc3cc(Cl)ccc13)CC1C=C(CCCCn3cc(CO)nn3)CC2C1,9.37,209.58,4.4,6.0,2.0,2.0,1.0
CHEMBL5560860,,COc1cc2c(cc1OC)C(c1ccccc1)N(CCc1cn(CCCCC3=CC4Cc5nc6cc(Cl)ccc6c(N)c5C(C3)C4)nn1)CC2,9.37,311.65000000000003,8.12,8.0,4.0,4.0,1.0
CHEMBL4796461,,COc1cc2c(cc1O)CCC(C)(CCNCCCCCCCNc1c3c(nc4cc(Cl)ccc14)CCCC3)O2,9.36,327.65000000000003,7.61,7.7,5.0,5.0,1.0
CHEMBL370807,,O=C(CCCCCNc1c2c(nc3ccccc13)CCCC2)NCCc1cnHc2ccc(O)cc12,9.35,204.14000000000001,5.63,4.4,4.0,4.0,0.0
CHEMBL555214,,CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCCCCNc4c5c(nc6cc(Cl)ccc46)CCCC5)c3C(C1)C2,9.35,315.1,10.05,8.0,2.0,2.0,1.0
CHEMBL1912058,,O=C(CCCCC1CCSS1)NCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,9.33,323.74,6.4,7.2,3.0,3.0,1.0
CHEMBL426441,,CN1C(=O)Cc2cc3onc(CCC4CCN(Cc5ccccc5)CC4)c3cc21,9.32,176.13,4.19,4.4,3.0,3.0,0.0
CHEMBL94546,,CN1C(=O)Cc2cc3c(CCC4CCN(Cc5ccccc5)CC4)noc3cc21,9.32,176.13,4.19,4.4,3.0,3.0,0.0
CHEMBL1179697,,CN1C(=O)Cc2cc3c(CCC4CCN(Cc5ccccc5)CC4)noc3cc21,9.32,176.13,4.19,4.4,3.0,3.0,0.0
CHEMBL1083069,,O=C1CNc2cc3onc(CCC4CCN(Cc5ccccc5)CC4)c3cc2C1,9.32,176.13,4.21,4.4,3.0,3.0,0.0
CHEMBL1651249,,O=C(CCC1CCN(Cc2ccc(O)cc2)CC1)c1cc2c3c(ccn3C(=O)CC2)c1,9.31,206.13,4.81,4.2,4.0,4.0,0.0
CHEMBL5426103,,CCN+(CC)(CCCCCn1c(=O)cc(C)n(CCCCCn2c(C)cc(=O)n(C)c2=O)c1=O)Cc1ccccc1C(F)(F)F,9.3,363.2,4.6,7.2,5.0,5.0,1.0
CHEMBL555666,,CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCCCCNc4c5c(nc6ccccc46)CCCC5)c3C(C1)C2,9.3,279.65000000000003,9.4,8.0,2.0,2.0,1.0
