Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value,Potency Category
CHEMBL1618217,,,312.46,1.0,5.11,3,CCCCCCNc1c2c(nc3ccc(OC)cc13)CCCC2,IC50,'=',100.0,nM,7.0,,,UO_0000065,22.4,0.42,1.89,20.5,0,CHEMBL1921132,Inhibition of human recombinant AChE after 5 mins using spectrophotometer by Ellman's method,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL220,Acetylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1914376,1,Scientific Literature,Bioorg Med Chem Lett,2011.0,,,,,0.1,Potent (7-8)
CHEMBL5409365,,,402.42,0.0,4.12,D3,FC(F)(F)c1ccc(-c2nnc(CNC3CCN(Cc4ccccc4)C3)o2)cc1,IC50,'=',64.0,nM,7.19,,,UO_0000065,17.88,0.34,3.07,13.28,0,CHEMBL5339548,Inhibition of human AChE by Ellmans method,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL220,Acetylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL5338719,1,Scientific Literature,Eur J Med Chem,2022.0,,,INHIBITOR,,0.064,Potent (7-8)
CHEMBL1083660,,,376.54,0.0,4.94,48,CN1CCCc2cc(C(=O)CCC3CCN(Cc4ccccc4)CC3)ccc21,IC50,'=',24.0,nM,7.62,,,UO_0000065,20.24,0.37,2.68,32.36,0,CHEMBL1119333,Inhibition of AChE,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL220,Acetylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1155460,1,Scientific Literature,Eur J Med Chem,2010.0,,,,,24.0,Potent (7-8)
CHEMBL433379,,,334.46,0.0,4.98,table 1 ID 2,Cc1ccc2onc(CCC3CCN(Cc4ccccc4)CC3)c2c1,IC50,'=',7.8,nM,8.11,,,UO_0000065,24.24,0.44,3.13,27.7,1,CHEMBL1119333,Inhibition of AChE,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL220,Acetylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1155460,1,Scientific Literature,Eur J Med Chem,2010.0,,,,,7.8,Very Potent (8-9)
CHEMBL330004,,,399.33,1.0,5.44,1e,Brc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1,IC50,'=',50.0,nM,7.3,,,UO_0000065,18.28,0.4,1.86,24.94,1,CHEMBL641020,Inhibition against Acetylcholinesterase (AChE),B,BAO_0000357,single protein format,,,,,,,,,CHEMBL220,Acetylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1129655,1,Scientific Literature,J Med Chem,1996.0,,,,,1.699,Potent (7-8)
CHEMBL425739,,,471.74,1.0,6.53,4,O=C(CCCCC1CCSS1)NCCCCCNc1c2c(nc3ccccc13)CCCC2,IC50,'=',38.4,nM,7.42,,,UO_0000065,15.72,0.32,0.89,13.73,0,CHEMBL832842,Inhibitory concentration against human recombinant acetylcholinesterase,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL220,Acetylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1141170,1,Scientific Literature,J Med Chem,2005.0,,,,,38.4,Potent (7-8)
CHEMBL94,PHYSOSTIGMINE,3.0,275.35,0.0,1.77,9,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,IC50,'=',56.7,nM,7.25,,,UO_0000065,26.32,0.49,5.48,16.17,1,CHEMBL1249049,Inhibition of human AChE by Ellmans test,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL220,Acetylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1240490,1,Scientific Literature,J Med Chem,2010.0,,,,,56.7,Potent (7-8)
CHEMBL2064470,,,457.67,0.0,4.67,6d,CN(CCCN1CCN(CCNc2c3c(nc4ccccc24)CCCC3)CC1)c1ccccc1,IC50,'=',84.8,nM,7.07,,,UO_0000065,15.45,0.28,2.4,20.41,0,CHEMBL2066006,Inhibition of human recombinant AChE using acetylthiocholine substrate preincubated for 5 mins before substrate addition by Ellman's method,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL220,Acetylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL2062461,1,Scientific Literature,Eur J Med Chem,2012.0,,,,,84.8,Potent (7-8)
CHEMBL3604193,,,439.0,0.0,4.41,3b,CN(C)c1ccc(C(=O)NCCCNc2c3c(nc4ccccc24)CCCC3)cc1.Cl,IC50,'=',19.0,nM,7.72,,,UO_0000065,19.18,0.35,3.31,13.48,0,CHEMBL3606356,Inhibition of acetylcholinesterase in human erythrocytes using acetylthiocholine iodide substrate by spectrophotometric Ellman's method,B,BAO_0000219,cell-based format,Homo sapiens,,,,,,,,CHEMBL220,Acetylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL3603732,1,Scientific Literature,Bioorg Med Chem,2015.0,,,,,19.0,Potent (7-8)
CHEMBL221992,,,1016.97,2.0,9.11,12,CC[N+](C)(CCCCCC(=O)N1CCC(CCCC2CCN(C(=O)CCCCC[N+](C)(CC)Cc3ccccc3OC)CC2)CC1)Cc1ccccc1OC.[I-].[I-],IC50,'=',5.754,nM,8.24,,,UO_0000065,10.8,0.2,-0.87,13.95,0,CHEMBL917209,Inhibition of human recombinant AChE,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL220,Acetylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1149275,1,Scientific Literature,J Med Chem,2004.0,,,,,-8.24,Very Potent (8-9)
CHEMBL372491,,,432.61,0.0,4.92,table 1 ID 34,COc1cc2cc(C(=O)C3CCC[N+](C)(CC4CCCCO4)CC3)sc2cc1OC,IC50,'=',28.0,nM,7.55,,,UO_0000065,17.46,0.34,2.63,16.87,0,CHEMBL832763,Inhibitory activity against Acetylcholinesterase enzyme using human AChE assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL220,Acetylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1138798,1,Scientific Literature,J Med Chem,2004.0,,,,,28.0,Potent (7-8)
